,SalePrice,Gr Liv Area,Bedroom AbvGr,Neighborhood_NAmes,Neighborhood_NWAmes
1,105000,896,2,True,False
2,172000,1329,3,True,False
3,244000,2110,3,True,False
19,210000,2073,3,False,True
20,190000,1844,3,False,True
21,170000,1173,3,False,True
23,149000,1004,2,True,False
24,149900,1078,3,True,False
25,142000,1056,3,True,False
26,126000,882,2,True,False
27,115000,864,3,True,False
28,184000,1337,2,True,False
110,218500,1829,4,False,True
111,243500,2495,4,False,True
112,205000,1610,3,False,True
113,212500,1891,3,False,True
114,196500,1714,3,False,True
115,197500,1381,3,False,True
116,171000,1645,4,False,True
117,142250,1232,3,True,False
118,143000,1328,3,False,True
119,128950,1225,3,True,False
120,159000,1209,3,True,False
121,178900,1510,3,True,False
122,136300,1775,3,True,False
123,180500,1152,3,True,False
124,137500,1054,3,True,False
125,84900,1728,6,True,False
126,142125,1078,2,True,False
127,197600,2461,3,True,False
128,172500,1556,3,True,False
131,128000,1063,3,True,False
132,153000,1520,3,True,False
133,132000,1268,2,True,False
134,178000,1128,2,True,False
135,154300,2274,5,True,False
136,180000,2207,3,True,False
137,190000,1888,2,True,False
138,135000,1604,4,True,False
139,214000,1480,3,True,False
140,136000,1143,3,True,False
141,165500,1700,4,True,False
142,145000,1314,3,True,False
143,148000,1194,3,True,False
144,142000,1188,3,True,False
145,167500,1264,3,True,False
146,108538,1206,3,True,False
147,159500,1580,3,True,False
148,108000,1337,3,True,False
149,135000,1064,2,True,False
150,122500,972,3,True,False
151,119000,988,2,True,False
152,109000,1057,3,True,False
153,105000,985,2,True,False
154,107500,827,2,True,False
155,144900,1086,3,True,False
156,129000,936,2,True,False
157,97500,1458,3,True,False
159,162000,1287,3,True,False
160,242000,2978,5,True,False
161,132000,1224,3,True,False
162,154000,1246,3,True,False
163,166000,1385,4,True,False
164,134800,900,3,True,False
165,160000,1116,3,True,False
166,148000,1175,3,True,False
167,192000,1395,2,True,False
168,155000,1839,4,True,False
341,124500,882,2,True,False
342,157000,1434,4,True,False
343,345000,2704,4,True,False
370,260000,2353,4,False,True
371,181000,1586,3,False,True
372,82500,1411,3,False,True
373,215000,1602,3,False,True
374,154000,2050,4,False,True
375,200000,1671,3,False,True
376,249000,2673,4,False,True
377,187500,1472,3,False,True
378,184000,1707,3,False,True
379,278000,2524,4,False,True
380,157000,1601,3,False,True
381,152000,1370,3,False,True
382,197500,1868,4,False,True
387,213000,1621,3,False,True
388,167900,1116,3,False,True
389,158000,1193,3,False,True
390,165000,1350,3,False,True
391,158000,2119,3,False,True
392,136000,1792,4,True,False
393,148500,1002,3,True,False
394,156000,1026,3,True,False
395,128000,1180,2,True,False
396,143000,1050,3,True,False
397,76500,864,3,True,False
398,120500,864,3,True,False
399,124500,864,3,True,False
400,97000,864,2,True,False
401,130000,864,3,True,False
